comments,duration,event,film_date,languages,main_speaker,name,num_speaker,published_date,speaker_occupation,title,views
97,565,TEDWomen 2010,1291766400,36,Ahn Trio,"Ahn Trio: A modern take on piano, violin, cello",1,1298650980,Piano trio,"A modern take on piano, violin, cello",746852
163,1032,TED2011,1299024000,32,Wadah Khanfar,Wadah Khanfar: A historic moment in the Arab world,1,1299095820,Journalist,A historic moment in the Arab world,922923
378,1449,TED2011,1299024000,38,JR,JR: My wish: Use art to turn the world inside out,1,1299202320,Street artist,My wish: Use art to turn the world inside out,2626483
190,591,TED2011,1299196800,32,Wael Ghonim,Wael Ghonim: Inside the Egyptian revolution,1,1299268740,Internet activist and computer engineer,Inside the Egyptian revolution,914212
231,616,TED2011,1299110400,35,Bill Gates,Bill Gates: How state budgets are breaking US schools,1,1299270660,Philanthropist,How state budgets are breaking US schools,1866264
249,1044,TED2011,1299110400,27,Anthony Atala,Anthony Atala: Printing a human kidney,1,1299526260,Surgeon,Printing a human kidney,2783715
202,686,TEDWomen 2010,1291939200,29,Courtney E. Martin,Courtney E. Martin: This isn't her mother's feminism,1,1299601440,Journalist,This isn't her mother's feminism,953671
548,1227,TED2011,1299024000,43,Sal Khan,Sal Khan: Let's use video to reinvent education,1,1299681960,Educator and social entrepreneur,Let's use video to reinvent education,4609857
370,1192,TED2011,1299196800,33,Deb Roy,Deb Roy: The birth of a word,1,1299774060,Cognitive scientist,The birth of a word,2475423
134,526,TEDxRainier,1288828800,30,Rob Harmon,Rob Harmon: How to keep rivers and streams flowing,1,1299857700,Natural resources expert,How to keep rivers and streams flowing,596776
226,1124,TED2011,1298937600,33,David Brooks,David Brooks: The social animal,1,1300114680,Op-ed columnist ,The social animal,1132752
239,1063,TED2011,1298937600,30,Janna Levin,Janna Levin: The sound the universe makes,1,1300198140,Physicist,The sound the universe makes,1119772
163,247,TED2011,1299024000,48,Mark Bezos,Mark Bezos: A life lesson from a volunteer firefighter,1,1300286460,"Activist, volunteer firefighter",A life lesson from a volunteer firefighter,2178952
109,1011,TEDxAmsterdam,1286668800,29,Rogier van der Heide,Rogier van der Heide: Why light needs darkness,1,1300374480,Lighting designer,Why light needs darkness,562653
645,1105,TED2011,1299110400,42,Sarah Kay,Sarah Kay: If I should have a daughter ...,1,1300460520,Poet,If I should have a daughter ...,10529854
268,555,TEDWomen 2010,1291420800,46,Hans Rosling,Hans Rosling: The magic washing machine,1,1300714380,Global health expert; data visionary,The magic washing machine,2391977
232,421,TED2011,1299024000,29,Isabel Behncke,"Isabel Behncke: Evolution's gift of play, from bonobo apes to humans",1,1300734000,Primatologist,"Evolution's gift of play, from bonobo apes to humans",710619
773,1182,TEDxPeachtree,1289433600,28,Paul Root Wolpe,Paul Root Wolpe: It's time to question bio-engineering,1,1300891080,Ethicist,It's time to question bio-engineering,1226731
226,383,TED2011,1299024000,33,Eythor Bender,Eythor Bender: Human exoskeletons -- for war and healing,1,1300976580,Berkeley Bionics' CEO,Human exoskeletons -- for war and healing,1370710
71,654,TEDxAmsterdam,1289433600,25,Claron McFadden,Claron McFadden: Singing the primal mystery,1,1301067000,Soprano,Singing the primal mystery,400082
353,635,TEDxDubai,1291420800,54,Patricia Ryan ,Patricia Ryan: Don't insist on English!,1,1301322660,Language teacher,Don't insist on English!,1624741
214,640,TED2011,1299110400,31,Ralph Langner,"Ralph Langner: Cracking Stuxnet, a 21st-century cyber weapon",1,1301404320,Security consultant,"Cracking Stuxnet, a 21st-century cyber weapon",1349028
102,1091,TED2011,1298937600,23,Handspring Puppet Co.,Handspring Puppet Co.: The genius puppetry behind War Horse,1,1301494920,Puppeteers,The genius puppetry behind War Horse,1530711
289,254,TED2011,1299024000,43,Sebastian Thrun,Sebastian Thrun: Google's driverless car,1,1301582160,Engineer,Google's driverless car,2442977
270,874,TED2011,1298937600,36,Eric Whitacre,"Eric Whitacre: A virtual choir 2,000 voices strong",1,1301667960,"Composer, conductor","A virtual choir 2,000 voices strong",3421371
